Store,Dept,residual_std
14,27,126.89497642997993
14,28,123.28801821938879
14,29,235.0456421440471
14,30,145.66726622486783
14,31,221.40745824722055
14,32,589.1193945913648
14,33,379.10613654839045
14,34,748.0282952030389
14,35,190.14078903532075
14,36,329.125434200907
14,38,1551.6361533381394
14,40,2285.3429872498486
14,41,300.80291111047745
14,42,226.4809198330594
14,44,111.17507534106997
14,46,570.5698960225274
14,47,589.8000682382534
14,49,365.5293018897991
14,50,182.12462555624302
14,51,15.66091330006781
14,52,185.96127693917046
14,54,51.434186392063786
14,55,556.7654767672352
14,56,593.3178734053653
14,58,776.6750824155049
14,59,112.6431835058127
14,60,102.62031875271674
14,67,675.2730581537058
14,71,297.08097322336005
14,72,2558.6381320703977
14,74,528.5930373718245
14,79,523.471700455723
14,80,490.02261649802506
14,81,687.1286826111414
14,82,872.1859706151349
14,83,543.2110873824402
14,85,154.54510108883383
14,87,540.6223805245799
14,90,1916.2377203918018
14,91,1636.5709451027058
14,92,7632.360109755139
14,93,1226.2536176106903
14,94,730.376176061022
14,95,3494.1417206755445
14,96,5.467597766792685
14,97,743.2055405420099
14,98,428.7382015473719
14,99,460.73765656278164
15,1,606.5253579266677
15,2,641.0808473605301
15,3,630.2745846937419
15,4,305.6181649473061
15,5,951.3353159993641
15,6,381.9583553549929
15,7,749.3900102915683
15,8,468.3325705532117
15,9,713.9405257890104
15,10,382.714615199912
15,11,1004.0373975380248
15,12,218.67602734414848
15,13,475.9359401700794
15,14,406.6516490207859
15,16,1236.3557728746212
15,17,486.71205973891233
15,18,709.1327521129369
15,19,152.92858586354623
15,20,303.31036590023973
15,21,191.9366149233448
15,22,589.2428166001648
15,23,722.5542121494059
15,24,455.09999669625023
15,25,589.5518063110633
15,26,439.15553742013736
15,27,136.66071810473528
15,28,80.05759502710818
15,29,294.81239142975
15,30,239.29387307043945
15,31,255.9196066233482
15,32,460.5328853588998
15,33,351.62186957816596
15,34,700.1806717081031
15,35,243.51705345216521
15,36,312.66673397407004
15,38,2049.234643378516
15,40,446.12977579540194
15,41,209.45863775973385
15,42,237.085540004736
15,44,197.0681562091727
15,46,359.66749198346196
15,49,799.2678994691867
15,50,342.93461164769997
15,52,180.4311136123431
15,54,32.32107508876533
15,55,425.5570039345559
15,56,605.723215016336
15,58,463.1375350813587
15,59,110.00365042401302
15,60,46.18009372094986
15,67,607.8040122739061
15,71,484.3726123336924
15,72,1744.695483549886
15,74,462.30835310462214
15,79,424.5988721496068
15,80,53.57896489288788
15,81,145.56050220596865
15,82,440.6948928439066
15,83,69.43754098222713
15,85,246.89272426384593
15,87,457.41673588880695
15,90,197.88906014451987
15,91,159.32716471114622
15,92,437.0596377602085
15,93,71.36932414149253
15,94,509.8673877193163
15,95,698.5421096851708
15,96,321.618432461083
15,97,202.1685674595849
15,98,91.14838381578764
16,1,1278.3055183728488
16,2,1101.452254810289
16,3,908.3834954231969
16,4,828.6243199500681
16,5,1502.5679089300302
16,6,1090.6582707724456
16,7,1464.5674761029925
16,8,551.8727472512415
16,9,4432.260760894252
16,10,931.4835120363635
16,11,1368.3401859664045
16,12,315.72781076062506
16,13,847.5528053045039
16,14,1032.4211000682044
16,16,1686.1848674726023
16,17,806.2240510511078
16,18,611.4239192145382
16,19,228.64015065655838
16,20,445.4069323399835
16,21,376.48179025387924
16,22,932.0413274294772
16,23,1034.369000000017
16,24,445.7422588256295
16,25,616.3460364037844
16,26,258.3094840678251
16,27,113.78884574390828
16,28,72.79365644409418
16,29,170.8270857661464
16,30,191.35859288165668
16,31,221.8021420132331
16,32,665.5079021408972
16,33,450.55847747375043
16,34,599.7393478046691
16,35,48.62723814613626
16,36,407.7126659193993
16,38,4563.367908580315
16,40,1447.805132629599
16,41,295.0646413395555
16,42,334.9661720416949
16,44,408.5285443651314
16,45,32.103623153366684
16,46,1059.6865812300962
16,47,88.19631986300703
16,48,495.1046258569658
16,49,31.5282268921631
16,51,589.8000682382534
16,52,234.95759071332
16,54,27.856768686196997
16,55,1048.7465463929973
16,56,1864.5901616362332
16,58,443.8240565045998
16,59,20.64914942408599
16,60,27.807500526098337
16,67,856.2283484198991
16,71,480.4205598683898
16,72,2706.2793440259984
16,74,857.8077701657114
16,79,491.4954311687022
16,80,102.45107024706773
16,81,260.5445223849477
16,82,885.7788534017366
16,83,33.425990118218536
16,85,380.53591236796933
16,87,1221.0271916584425
16,90,572.651153986478
16,91,598.8019451490845
16,92,1009.4815297794725
16,93,175.5183675607936
16,94,353.8908107231764
16,95,1660.6535723052116
16,96,46.87787608767432
16,97,279.33244540317264
16,98,29.34580780594978
17,1,2163.8447324625863
17,2,2980.7422393098577
